Pathway	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
Antimicrobial resistance gene	351738.52	1036409.8	404243.86	571643.37	358251.27	662729.02	565937.92	391350.98	505389.86	673621.2	350499.57	418833.4	359086.66	581148.11	444127.06	659409.68	496226.44	420185.04	465332.31	442611.43	473176.24	373425.48	589975.85	295592.02	316186.02	403639.6	484589.56	190521.63	357123.34
Apelin signaling pathway 	345	10	36.5	221	90	0	10	0	17	0	37	0	4	38	182	0	113	452	53	0	0	166	0	21	239	3847	0	0	0
Apoptosis - fly 	85872.53	115228.34	105003.53	66250.47	62300.35	51643.84	121552.84	45657.5	91385.93	46440.53	68747.5	40207.83	69453.81	55875.02	67514.12	118052.09	107036.53	91502.92	104367.41	50506.18	117663.04	89953.8	50469.66	46846.88	88336.85	92245.99	100720.13	60407.38	72311.67
Apoptosis - multiple species 	47906.34	77253.53	79097.08	24862.07	29602.22	20160.82	59178.32	20983.97	51664.85	21892.74	30578	15347.58	34164.19	19445.7	26341.74	89415.46	77849.18	61753.96	65272.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
Apoptosis 	52581.97	79598.1	81204.38	41078.79	35594.5	35281.49	76544.35	28062.22	64321.78	35340.24	38590.25	23795.83	42970.01	31033.87	35512.13	104276.47	86541.34	67815.68	72140.88	35168.59	92076.92	69256.73	24370.9	32289.04	61495.52	58575.63	67233.01	36723.89	43989
Arabinogalactan biosynthesis - Mycobacterium 	64649.88	19234.89	18426.52	138786.3	38987.39	60416	45107.09	34887.5	50057.5	32465.75	37880.86	51282.67	79779.77	108356.42	31005.14	12497.48	18360.05	46495.2	37288.09	33435.19	31985.15	15956.4	14553.47	21495.7	17557.46	82474.73	33943.92	43901.92	31364.17
Arachidonic acid metabolism 	36938.71	81420.01	44205.77	34558.42	46847.49	29304.6	46797.48	29105.7	58998.89	28075.47	40939.84	21906.99	45893.85	32639.86	44802.51	65398.05	44457.14	43990.59	56882.34	36237.96	42894.03	31516.21	62975.78	35758.32	35593.49	46586.49	46778.13	24357.41	45308
Arginine and proline metabolism 	1188307.66	1289715.81	986536.37	763108.23	669170.13	751573.28	1093195.19	533957.91	928438.22	681986.98	725376.45	526635	725544.77	798553.51	802034.47	979722.12	1021136.13	896829.3	1015783.25	826741.06	1052910.37	768722.82	715794.11	611982.73	738622.81	877561.43	1095415.07	851523.91	648066.06
Arginine biosynthesis 	822111.32	882607.93	683068.07	621603.09	490672.68	515439.1	731414.5	377759	733411.88	482328.29	546461.51	354293.69	523977.02	546332.74	519434.39	595680.65	659210.91	625147.41	739808.93	567979.19	694360.88	563436.7	542286.87	456212.09	520836.37	688801.56	717335.35	650102.07	515764.08
Arrhythmogenic right ventricular cardiomyopathy 	180	0	0	0	0	0	0	0	0	0	54	0	0	0	0	20.67	210.5	113	178.67	0	331.17	23	0	620	239	493.33	78.33	680	37
Ascorbate and aldarate metabolism 	340105.4	285348.5	326298.24	263065.38	230498.83	268804.74	490428.73	212199.86	324531.47	234363.53	258261.39	196352.65	282813.09	282624.31	321525.8	442826.06	432379.88	361094.64	360048.39	392521.82	427816.87	307854.66	274139.16	185225.68	284781.04	315896.79	408134.65	230876.42	214920.85
Atrazine degradation 	72292.1	124116.78	97721.05	80823.19	57882.98	70613.38	119500.07	51591.91	93161.19	63219.69	73810	52731.23	85418.61	74502.96	74007.92	106958.67	109920.26	108980.27	84458.07	109909.4	119063.24	101619.71	68343.33	47086.74	59018.33	81670.2	96987.79	55045.68	33416.01
Autophagy - animal 	165	0	36.5	0	0	0	10	0	17	0	13	0	4	0	0	0	0	0	171	0	980	0	0	0	1980	0	0	0	0
Autophagy - yeast 	25809.17	10774.33	21399.42	21984.5	10003.05	19806.5	12338	7265	16631.15	17899	12499.75	11872	17022.2	23593	5711	12982.11	26336.98	24494.3	18410.25	18299.83	20462.4	18037.13	3750.8	23016.17	14881.14	28144.87	16040.59	15584.01	10171
Axon regeneration 	8409.39	35374.48	27649.67	13433.03	15981.73	17305.48	25728.99	13249.79	22687.35	17333.99	16965.79	10934.75	12583.08	15037.62	18791.57	26219.52	19823.04	15261.67	15867.29	14160.6	24578.21	19423.33	23512.87	21865.7	16057.33	15066.95	18014.35	16397.97	19102.84
B cell receptor signaling pathway 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterial chemotaxis 	879010.25	1203384.15	738861.8	584773.42	588356.13	661611.67	1160783.43	549981.66	898153.02	638306.77	647575.6	449920.25	608948.35	573482.55	792689.28	1230728.18	815584.62	621349.77	860393.42	380611.43	895105.21	699859.4	852237.74	443697.18	660974.86	605469.82	928016.64	619521.42	741296.84
Bacterial invasion of epithelial cells 	577.66	14232.91	13.67	621.75	846.45	301.5	75.56	212.25	3749.67	1745.75	2176.78	325.5	664.75	368.25	3726.13	247	313	182.75	8775.17	438	115.5	880.5	2771.92	360.75	335	569.34	889.42	163.67	10148.5
Bacterial motility protein	2197320.26	3820402.84	1823316.51	1511650.32	1593459.17	1657913.22	2637424.64	1313597.24	2479913.53	1680802.21	1659848.18	1118400.35	1462679.78	1445455.63	1862794.16	3286182.71	2067234.37	1687351.61	2451606.89	967892.19	2304487.12	1633594.32	2099434.3	1637632.28	1749994.61	1600984.05	2193519.38	1666454.54	2161016.7
Bacterial secretion system 	988162.65	1128340.08	1053008.98	999798.34	854460.53	887808.12	1419990.24	670169.95	1315686.91	872458.82	871826.42	616877.39	870097.87	844141.07	970938.58	1305756.72	1132333.99	972197.97	1260071.43	650233.75	1226005.45	850644.75	1080149.48	803544.84	907395.25	1040074.66	1160129.98	766073.67	1027749.03
Bacterial toxin	81441.14	85597.96	72724.78	84132.82	70856.48	99570.52	117322.15	61194.16	96397.04	99895.07	72100.35	73243.49	71663.46	89243.92	69677.39	74950.74	82234.54	72585.04	94733.81	71627.22	80558.99	56994.88	64191.15	40319.88	64742.63	91983.72	112899.11	66829.14	64693.84
Basal transcription factors 	9808.8	4138.43	5772.45	21437.42	7841.2	19345.67	19806.58	7314.84	9623.05	15610.5	11702.5	11239	13293.73	20845.5	9675.23	3533.37	8099.31	12538.99	7812	13291.93	8739.39	4754.29	2237.12	6979.11	6283.19	19130.92	11829.94	5737.12	11055.5
Base excision repair 	686504.37	506520.72	455121.87	421343.7	394433.18	357588.75	555990.46	259213.48	576849.3	319215.37	443418.64	239509.99	402855.75	403095.73	410319.71	476971.39	467935.69	472912.22	544058.4	397773.87	509443.05	356972.02	360797.36	366718.69	399666.34	576787.06	523789.55	535190.65	472062.2
Benzoate degradation 	853923.52	1452843.36	822570.15	973265.46	587546.56	880554.79	1223249.79	528345.95	853672.11	755226.18	687174.71	633581.7	795431.73	978002.67	689611.79	1095833.24	958471.14	1023768.63	851402.24	889531.85	1051455.76	721558.91	505752.22	565155.07	720306.58	954469.54	1007013.69	647246.72	765256.37
Betalain biosynthesis 	22425.24	40860.63	23693.32	26236.03	21373.45	22201.98	30188.76	16762.46	27899.25	20696.99	22214.95	14844.83	35730.42	23958.62	23813.49	19819.36	28821.43	24115.12	20993.37	34872.13	25362.56	16291.23	28130.07	14001.92	15620.84	20699.79	21641.03	16724.29	33793.67
Bile secretion 	998	1591.5	1525.25	1113	2509.42	1007.5	1595.58	629.86	7087.5	867.5	2126.25	1618	564.83	202	2700.75	1236.08	1001.5	6064.5	2489.66	2105.84	1328.75	2387.42	4515.93	5990	1547.89	1344	3329.25	655	9712
Biofilm formation - Escherichia coli 	406471.74	877767.35	425868.78	445537.99	414333.88	527210.41	765132.96	439552.22	522460.4	478460.72	403718.14	344702.89	409720.16	463804.69	579573.01	478046.92	515311.57	398011.77	608411.84	265197.69	551807.01	403000.91	690286.82	325016.77	407617.11	374411.5	555589.87	308160.72	348853.85
Biofilm formation - Pseudomonas aeruginosa 	375559	919887.73	367075.47	379309.2	400141.04	434591.92	734005.07	347409.52	583713.31	427204.07	409266.79	332184.82	418324.55	403201.54	535872.78	870674.87	431301.24	325611.62	507930.56	226109.46	474860.15	371506.89	687559.48	339371.88	361823.65	360307.67	519473.36	256419	434308.7
Biofilm formation - Vibrio cholerae 	474275.8	748632.24	393958.49	456123.81	413400.62	415215.88	677332.5	337965.54	617330.92	423708.08	400902.39	275209.62	370006.52	371602.02	498796.24	870116.8	409727.93	390617.98	582059.95	239117.53	460522.45	332571.28	588279.7	423309.14	396195.12	423133.15	511120.16	344924.21	553372.86
Biosynthesis of 12-	424.2	9.2	721.75	178.5	0	0	127.75	0	0	0	0	0	0	0	0	5.2	15.2	31.8	83.5	16	249.25	280.8	29.8	609	0	24	63	144.25	0
Biosynthesis of ansamycins 	83844.96	65031.34	79450.6	62373.45	65984.35	66717.22	115829.25	58339.79	89752.01	56948.62	67204.34	42918.25	66726.69	68336.88	83144.76	62461.53	85668.81	86463.39	86235.7	110026.6	94274.8	70430.74	80384.2	63818.81	64561.93	81736.03	81601.59	75521.65	59554.18
Biosynthesis of enediyne antibiotics 	0	1129.66	112.5	0	972	2702	30	0	0	809	1264	2181	1225	5643	847	2077	2132.5	2450.66	0	9638	19	774	124	2091.5	483	2177.34	770	13	0
Biosynthesis of siderophore group nonribosomal peptides 	60715.95	53892.87	23811.19	111328.25	44860.05	64203.12	36387.93	49438.08	50736.3	46877.23	38547.79	47689.83	45551.79	99698.15	50059.33	17275.13	28834.52	40965.55	68618.94	25188.58	32475.9	69747.48	69230.46	24971.26	21415.27	79433	35892	33661.19	12550.67
Biosynthesis of type II polyketide backbone 	468	5699.83	1811.75	178.5	680	0	1121.75	0	808	0	1555	200	826	0	0	15640.98	10715.19	9429.1	83.5	75471.98	373.25	1998	305	1586	1913.67	24	1201	426.25	0
Biosynthesis of type II polyketide products 	1618.2	4799.28	3889.83	1265	2812.33	3784	1971	2351	439	926	2718.75	2611	6160	5689	1583.25	12989.69	10168.99	10919.55	2898.99	63003	2347.84	3545.3	922.55	4829.18	2679.05	1105.67	2373.67	3541.17	0
Biosynthesis of unsaturated fatty acids 	96880.18	124828.99	93977.17	113550.09	83121.09	95595.11	120716.67	59677.71	114111.44	82366.97	90099.67	66550.91	97662.59	113987.86	83163.17	98957.94	103135.46	119159.51	114940.86	99834.56	111656.61	93252.63	75875.45	86789.53	82119.62	117347.02	107695.65	78777.13	87928.5
Biosynthesis of vancomycin group antibiotics 	70589.68	46610.68	56605.3	45280.7	43710.33	31596.32	61615.85	26876.63	63854.4	26028.24	49371.64	24135.25	40271.02	40844.37	45433.3	44564.09	54501.98	57323.66	64298.87	63070.45	61991.63	28936.46	37615.05	35106.36	42162.04	54416.5	58995.87	59361.88	41402.84
Biosynthesis of various secondary metabolites - part 1 	0	2648.5	1945.75	1670.5	0	0	174.75	260	0	0	117.25	50	121.75	0	0	4726.33	2166.67	1940.44	83.5	16501.83	280.25	325	27	257.67	249	164	206	144.25	0
Biosynthesis of various secondary metabolites - part 2 	89453.52	87892.73	79726.15	79521.05	70444.42	81118.65	131628.31	54066.12	101759.87	73025.77	75659.74	50596.83	73487.46	79812.56	89962.18	67930.59	85644.24	74982.95	92340.28	71429.54	84034.01	60742.01	69982.02	52197.34	64135.3	71958.6	94032.63	65493.54	83367.67
Biosynthesis of various secondary metabolites - part 3 	3353.8	9228.68	16133.5	10484.52	7443.37	18198	8466.72	11482.67	8583.65	13815.25	3525.83	10088.25	5808.29	10169.1	5122.73	11018.63	11191.41	9789.58	21365.45	23758.83	7660.83	4525.2	7605.88	5224.25	3983.03	2043	6428.59	2818.5	1057
Biotin metabolism 	716575.62	693064.61	566197.55	510125.16	472797.87	484420.67	706707.77	352460.62	635884.92	451730.93	505539.51	318551.56	440112.11	499913.31	522697.75	546037.82	588822.59	549814.36	660478.44	425232.83	644542.22	441905.34	470384.91	448926.35	497111.3	561953.3	636391.81	536263.04	506535.71
Bisphenol degradation 	3588	1584.5	4113.75	9804.75	4437.75	9904	2860.25	2035	4618.5	3998	4838.25	8128.5	4729.5	19611	3201.25	1976.24	2081	5370	4547	3570.5	4891.75	3647.75	811.93	2628.5	4269.39	7182	3881.25	1541	1080.5
Bladder cancer 	17613.82	9688.03	22226.85	15412.3	11169.06	7260	10812.11	8050	15958.78	4464.25	11884.08	5724.5	12952.54	12403.92	10052.06	25217.62	13353.06	17420.27	17883.72	18456.86	19642.84	18243.46	12022.63	9340.9	15787.42	24453.03	15619.08	14674	10603
Brassinosteroid biosynthesis 	0	5	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1129
Breast cancer 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butanoate metabolism 	1555436.15	1531263.76	1221366.56	1310300.66	909422.25	1165583.24	1677969.43	717152.78	1320605.78	1024407.11	1060764.94	793021.66	1132615.29	1260527	1032954.47	1249706.69	1356623.11	1357501.12	1391217.96	1187685.54	1470003.95	991398.76	800606.87	888838.33	1096636.8	1383451.41	1431656.59	1188369.24	912750.76
C-type lectin receptor signaling pathway 	3756	10	111	317	90	0	694	236	531	0	37	0	9751	118	182	29	4220	2159	1457	0	1272	332	54	21	352	5202	0	0	0
C5-Branched dibasic acid metabolism 	518496.43	400651.63	358990.26	349922.32	292929.72	344957.63	460110.9	233871.64	405894.48	319318.53	327925.88	228418.64	295962.51	353348.32	316702.71	330571.63	394252.64	363932.72	414559.41	284251.33	428878.12	288208.48	271259.26	296918.01	334615.76	382728.59	426591.23	407648.77	309235.71
CD molecule	13960.36	9173.36	12786	13790.5	10294.75	1149.5	13490	2894	12399.4	1530.5	8801.75	690	15864.92	1327	6426.75	28240.03	14408.92	18591.74	12937.83	16172	15141	5492.55	3587.3	12863.51	8986.03	16254.01	12657.25	13222.75	3501
Caffeine metabolism 	4339.2	3397.7	2940.75	11019.5	5945	4494	7857.25	2565	5983	2890	6341	4361	4938	8592	2760	15212.11	4171.98	11037.02	3981.83	11357.5	4755.25	3812.8	485.8	6009.34	4090.39	9883.67	8298.42	4328.25	1334.5
Calcium signaling pathway 	648.5	2330.5	3607.5	302	1667	541	1021	1914	259	29	662	146	1085	83	1200	491	2377.33	1617.22	169	1708	2280	1091.5	264	523.5	2074	3887	2766	798.5	688
Caprolactam degradation 	209561.09	315616.45	202066.73	290054.79	137310.73	215549.2	254845	129871.61	211793.49	183753.11	157855.47	157298.62	209219.75	251596.4	148133.43	216482.25	251633.74	272377.89	253160.91	197057.9	273771.44	172481.1	124951.49	156893.92	189199.24	252527.25	224387.11	143932.49	105319.84
Carbapenem biosynthesis 	104342.88	73221.56	66688.94	59191.06	54293.06	48129.96	71858.34	35634.92	80263.2	43251.98	62325.4	31837.5	53150.94	53965.24	56647.24	59902.08	65685.72	65231.64	75731.42	46587.26	68122.92	52033.08	51718.02	60875.18	56570.07	82418.64	65039.72	78929.92	70400.34
Carbohydrate digestion and absorption 	6023.84	10862.92	8516.42	1113.63	4234.48	2323	2352.44	3168.5	5458.13	1451.75	3132.25	1124.34	2501.2	499.92	3171.94	16216.87	3855.92	2812.55	5879.31	10269.23	1935.15	9188.97	8739.42	3857.05	2411.42	5913.93	2758.25	1870.42	2707
Carbohydrate metabolism	133794.52	63157.05	58434.95	41897.29	66080.42	25909.59	126679.22	35239.92	92277.59	19335.21	80703.87	19630.25	70554.19	27514.23	81288.62	66025.11	70038.83	72353.88	90821.81	98000.54	71132.9	50926.58	55783.06	45625.27	58807.84	102183.98	106732.7	110112.64	95029.17
Carbon fixation in photosynthetic organisms 	693531.52	549042.66	558965.66	443301.13	440778.53	377060.54	686596.53	321518.44	616509.03	325970.01	473181.51	247922.26	435376.27	405993.39	496626.1	473458.63	581776.77	543427.66	630738.45	476949.16	635459.12	398314.59	459435.93	397853.38	467116.06	585888.2	560883.39	581548.1	472695.72
Carbon fixation pathways in prokaryotes 	1640327.06	1288799.83	1121386.41	1056844.52	874734.72	903637.47	1328577.17	603598.6	1296381.38	796389.1	996506.09	618148.39	948061.05	1026496.88	890082.94	1108392.81	1154001.38	1141711.12	1315096.33	979874.32	1251835	863063.62	772936.52	907544.84	978632.77	1303013.54	1236237.67	1307324.08	968214.77
Cardiac muscle contraction 	68374.16	90022.36	71295.98	49045.69	47382.51	50210.44	84349.07	33991.88	60886.5	51285.72	43279.75	33381.24	45562.86	42456.6	53456.44	76339.88	75822.73	60738.55	58708.71	35245.29	79190.27	59840.89	36204.72	60157.38	68456.8	46884.93	76170.15	50162.04	58243
Carotenoid biosynthesis 	76386.98	56590.14	90706.6	41305.19	49812.52	34520.34	65758.05	33087.93	64112.15	24960	50877.5	26813.75	60998.78	47166.85	50161.86	48519.19	72262.44	70988.43	66464.41	79662.35	72723.45	39875.53	38512.94	32474.05	49365.46	88708.67	68580.72	60946.66	47729.51
Cationic antimicrobial peptide (CAMP) resistance 	300619.2	615226.15	320643.61	363509.01	353213	444939.45	408270.23	351364.69	442936.99	438774.81	296350.52	276430.07	280563.71	406351.17	425214.19	407920.98	366909.41	292386.69	481556.36	200109.98	392429.26	288762.22	604157.89	289284.4	297115.63	278518.21	378978.39	221257.61	292697.34
Cell adhesion molecule	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	20.67	155.5	113	178.67	16	331.17	23	0	599	0	558.33	78.33	680	37
